iter	Passed	Remaining
881	2124	284
882	2126	281
883	2127	279
884	2128	276
885	2130	274
886	2131	271
887	2133	269
888	2134	266
889	2136	264
890	2138	261
891	2140	259
892	2141	256
893	2143	254
894	2144	251
895	2146	249
896	2147	246
897	2148	244
898	2151	241
899	2152	239
900	2154	236
901	2155	234
902	2157	231
903	2158	229
904	2160	226
905	2161	224
906	2163	221
907	2164	219
908	2166	216
909	2167	214
910	2171	212
911	2173	209
912	2177	207
913	2179	205
914	2181	202
915	2183	200
916	2184	197
917	2186	195
918	2188	192
919	2190	190
920	2191	187
921	2193	185
922	2195	183
923	2196	180
924	2198	178
925	2201	175
926	2202	173
927	2204	171
928	2206	168
929	2207	166
930	2209	163
931	2210	161
932	2212	158
933	2213	156
934	2214	153
935	2216	151
936	2217	149
937	2221	146
938	2223	144
939	2224	141
940	2226	139
941	2227	137
942	2229	134
943	2230	132
944	2232	129
945	2234	127
946	2235	125
947	2237	122
948	2239	120
949	2240	117
950	2241	115
951	2244	113
952	2246	110
953	2247	108
954	2249	105
955	2251	103
956	2252	101
957	2253	98
958	2255	96
959	2256	94
960	2258	91
961	2259	89
962	2262	86
963	2263	84
964	2265	82
965	2266	79
966	2268	77
967	2270	75
968	2271	72
969	2273	70
970	2274	67
971	2276	65
972	2277	63
973	2279	60
974	2281	58
975	2282	56
976	2284	53
977	2286	51
978	2287	49
979	2289	46
980	2290	44
981	2292	42
982	2293	39
983	2296	37
984	2297	34
985	2299	32
986	2300	30
987	2302	27
988	2305	25
989	2307	23
990	2309	20
991	2310	18
992	2312	16
993	2313	13
994	2315	11
995	2316	9
996	2318	6
997	2319	4
998	2321	2
999	2322	0
